route_id,direction_id,stop_sequence,trip_id,stop_id,departure_time,traversal_time_sec,stop_lat,stop_lon,lat_prev,lon_prev,length_m
1,1,80,10775020,3208,20984.0,19.0,40.489935,-79.904907,40.48945,-79.903171,156.39941056596072
1,1,81,10775020,22169,21010.0,26.0,40.490701,-79.90745,40.489935,-79.904907,231.30391840541793
1,1,82,10775020,3210,21042.0,32.0,40.492023,-79.909084,40.490701,-79.90745,201.74772582073967
1,1,83,10775020,16887,21099.0,57.0,40.49342,-79.914229,40.492023,-79.909084,461.97419812662486
1,1,84,10775020,12693,21113.0,14.0,40.493679,-79.915704,40.49342,-79.914229,128.00997025549597
1,1,85,10775020,12694,21134.0,21.0,40.494085,-79.917976,40.493679,-79.915704,197.35572134829715
1,1,86,10775020,12695,21157.0,23.0,40.494459,-79.92031,40.494085,-79.917976,201.6983389222718
1,1,87,10775020,12696,21172.0,15.0,40.494598,-79.921517,40.494459,-79.92031,103.22794892892965
1,1,88,10775020,12697,21187.0,15.0,40.494731,-79.923001,40.494598,-79.921517,126.35568196083842
1,1,89,10775020,12698,21211.0,24.0,40.494705,-79.925229,40.494731,-79.923001,188.42199931695802
1,1,90,10775020,12699,21221.0,10.0,40.494604,-79.92623,40.494705,-79.925229,85.38649961567764
1,1,91,10775020,12700,21232.0,11.0,40.494494,-79.927422,40.494604,-79.92623,101.53527239470705
1,1,92,10775020,12701,21256.0,24.0,40.494358,-79.929604,40.494494,-79.927422,185.12954334552128
1,1,93,10775020,12702,21270.0,14.0,40.494275,-79.930866,40.494358,-79.929604,107.11378274795399
1,1,94,10775020,12703,21300.0,30.0,40.494602,-79.932179,40.494275,-79.930866,116.83015416288488
1,1,95,10775020,12704,21329.0,29.0,40.494639,-79.933472,40.494602,-79.932179,109.41369873590881
1,1,96,10775020,12705,21347.0,18.0,40.494662,-79.934381,40.494639,-79.933472,76.90770880941149
1,1,97,10775020,12706,21379.0,32.0,40.494693,-79.935699,40.494662,-79.934381,111.5035232541946
1,1,98,10775020,12707,21416.0,37.0,40.495318,-79.937477,40.494693,-79.935699,165.63238589898674
